segment_id,filename,image_panoid,date,query_counter,lat,lon,geometry,years_since_today,name,length,bearing
105963747-106056465,img_105963747-106056465_h0_002.png,d5aYe70_i1BIte8-KpMrtA,2023-05-01,6.0,40.44298568254124,-79.99719315839162,POINT (409377.58367455716 125635.71925595401),0.89,Smithfield Street,54.862,18.7
105963747-106056465,img_105963747-106056465_h1_003.png,d5aYe70_i1BIte8-KpMrtA,2023-05-01,7.0,40.44298568254124,-79.99719315839162,POINT (409377.58367455716 125635.71925595401),0.89,Smithfield Street,54.862,18.7
105963734-105963747,img_105963734-105963747_h1_009.png,d5aYe70_i1BIte8-KpMrtA,2023-05-01,21.0,40.44298568254124,-79.99719315839162,POINT (409377.58367455716 125635.71925595401),0.89,Liberty Avenue,66.008,71.1
105012363-106056465,img_105012363-106056465_h0_018.png,d5aYe70_i1BIte8-KpMrtA,2023-05-01,36.0,40.44298568254124,-79.99719315839162,POINT (409377.58367455716 125635.71925595401),0.89,Seventh Avenue,94.592,295.7
105012363-106056465,img_105012363-106056465_h1_019.png,d5aYe70_i1BIte8-KpMrtA,2023-05-01,37.0,40.44298568254124,-79.99719315839162,POINT (409377.58367455716 125635.71925595401),0.89,Seventh Avenue,94.592,295.7
105963734-105963747,img_105963734-105963747_h0_008.png,d5aYe70_i1BIte8-KpMrtA,2023-05-01,20.0,40.44298568254124,-79.99719315839162,POINT (409377.58367455716 125635.71925595401),0.89,Liberty Avenue,66.008,71.1
105963734-106056465,img_105963734-106056465_h1_007.png,v8Ld_lY_SMh9uBsou89H8w,2023-05-01,25.0,40.4430348754392,-79.99727993450723,POINT (409370.363300946 125641.36711325657),0.89,Seventh Avenue,55.31300000000001,122.8
105963734-105963747,img_105963734-105963747_h1_007.png,v8Ld_lY_SMh9uBsou89H8w,2023-05-01,17.0,40.4430348754392,-79.99727993450723,POINT (409370.363300946 125641.36711325657),0.89,Liberty Avenue,66.008,71.1
105963734-106056465,img_105963734-106056465_h0_006.png,v8Ld_lY_SMh9uBsou89H8w,2023-05-01,24.0,40.4430348754392,-79.99727993450723,POINT (409370.363300946 125641.36711325657),0.89,Seventh Avenue,55.31300000000001,122.8
105963747-106056465,img_105963747-106056465_h0_000.png,v8Ld_lY_SMh9uBsou89H8w,2023-05-01,0.0,40.4430348754392,-79.99727993450723,POINT (409370.363300946 125641.36711325657),0.89,Smithfield Street,54.862,18.7
105012363-106056465,img_105012363-106056465_h0_020.png,v8Ld_lY_SMh9uBsou89H8w,2023-05-01,42.0,40.4430348754392,-79.99727993450723,POINT (409370.363300946 125641.36711325657),0.89,Seventh Avenue,94.592,295.7
105963734-105963747,img_105963734-105963747_h0_006.png,v8Ld_lY_SMh9uBsou89H8w,2023-05-01,16.0,40.4430348754392,-79.99727993450723,POINT (409370.363300946 125641.36711325657),0.89,Liberty Avenue,66.008,71.1
104572618-106056465,img_104572618-106056465_h0_018.png,v8Ld_lY_SMh9uBsou89H8w,2023-05-01,64.0,40.4430348754392,-79.99727993450723,POINT (409370.363300946 125641.36711325657),0.89,Smithfield Street,171.734,27.3
104572618-106056465,img_104572618-106056465_h1_019.png,v8Ld_lY_SMh9uBsou89H8w,2023-05-01,65.0,40.4430348754392,-79.99727993450723,POINT (409370.363300946 125641.36711325657),0.89,Smithfield Street,171.734,27.3
105963747-106056465,img_105963747-106056465_h1_001.png,v8Ld_lY_SMh9uBsou89H8w,2023-05-01,1.0,40.4430348754392,-79.99727993450723,POINT (409370.363300946 125641.36711325657),0.89,Smithfield Street,54.862,18.7
105012363-106056465,img_105012363-106056465_h1_021.png,v8Ld_lY_SMh9uBsou89H8w,2023-05-01,43.0,40.4430348754392,-79.99727993450723,POINT (409370.363300946 125641.36711325657),0.89,Seventh Avenue,94.592,295.7
105963734-105963747,img_105963734-105963747_h1_005.png,8Gxj_t3FaA-Ea-QnwFHWJw,2023-05-01,5.0,40.44306017405601,-79.99757754947524,POINT (409345.1945031031 125644.8178050615),0.89,Liberty Avenue,66.008,71.1
105963734-105963747,img_105963734-105963747_h0_004.png,8Gxj_t3FaA-Ea-QnwFHWJw,2023-05-01,4.0,40.44306017405601,-79.99757754947524,POINT (409345.1945031031 125644.8178050615),0.89,Liberty Avenue,66.008,71.1
104878620-105963734,img_104878620-105963734_h1_013.png,lnd_6-W2GC7Ty2OC3iYi3w,2023-05-01,25.0,40.44309972635493,-79.99742456117421,POINT (409358.2809641201 125648.87794301556),0.89,Liberty Avenue,57.915,71.4
104878620-105963734,img_104878620-105963734_h0_012.png,lnd_6-W2GC7Ty2OC3iYi3w,2023-05-01,24.0,40.44309972635493,-79.99742456117421,POINT (409358.2809641201 125648.87794301556),0.89,Liberty Avenue,57.915,71.4
104572636-105012363,img_104572636-105012363_h0_002.png,Ln-jPsxjjudSkzaDbU6rAw,2023-05-01,4.0,40.44264391999278,-79.99628051073702,POINT (409454.01888025017 125595.8131016422),0.89,William Penn Place,172.589,208.0
105012363-106056465,img_105012363-106056465_h1_003.png,Ln-jPsxjjudSkzaDbU6rAw,2023-05-01,3.0,40.44264391999278,-79.99628051073702,POINT (409454.01888025017 125595.8131016422),0.89,Seventh Avenue,94.592,295.7
105012363-106056465,img_105012363-106056465_h0_004.png,aRzULGb2j1cq4JNFmhwB2g,2023-05-01,6.0,40.44268003057889,-79.99637701497596,POINT (409445.93643193366 125600.02970341347),0.89,Seventh Avenue,94.592,295.7
105012363-106056465,img_105012363-106056465_h1_005.png,aRzULGb2j1cq4JNFmhwB2g,2023-05-01,7.0,40.44268003057889,-79.99637701497596,POINT (409445.93643193366 125600.02970341347),0.89,Seventh Avenue,94.592,295.7
105963734-106056465,img_105963734-106056465_h0_004.png,3gC7DmE3fD8SgvxKWCXe9Q,2023-05-01,16.0,40.44275674226773,-79.99658359000288,POINT (409428.63368148665 125608.99066863378),0.89,Seventh Avenue,55.31300000000001,122.8
105012363-106056465,img_105012363-106056465_h0_006.png,3gC7DmE3fD8SgvxKWCXe9Q,2023-05-01,10.0,40.44275674226773,-79.99658359000288,POINT (409428.63368148665 125608.99066863378),0.89,Seventh Avenue,94.592,295.7
105012363-106056465,img_105012363-106056465_h1_007.png,3gC7DmE3fD8SgvxKWCXe9Q,2023-05-01,11.0,40.44275674226773,-79.99658359000288,POINT (409428.63368148665 125608.99066863378),0.89,Seventh Avenue,94.592,295.7
105963734-106056465,img_105963734-106056465_h1_005.png,3gC7DmE3fD8SgvxKWCXe9Q,2023-05-01,17.0,40.44275674226773,-79.99658359000288,POINT (409428.63368148665 125608.99066863378),0.89,Seventh Avenue,55.31300000000001,122.8
105012363-106056465,img_105012363-106056465_h0_008.png,fYOeNLwfzgGW_OyoouoYEA,2023-05-01,14.0,40.44279587948938,-79.99668922380064,POINT (409419.7855430168 125613.56296467244),0.89,Seventh Avenue,94.592,295.7
105012363-106056465,img_105012363-106056465_h1_009.png,fYOeNLwfzgGW_OyoouoYEA,2023-05-01,15.0,40.44279587948938,-79.99668922380064,POINT (409419.7855430168 125613.56296467244),0.89,Seventh Avenue,94.592,295.7
