104197837-684996041|h0_004|5|0.6613|127.5|186.8007|321.2723|200.2102|330.7805|car
104197837-684996041|h0_004|6|0.6311|213.83|19.0704|368.0601|39.2137|378.6756|car
104197837-684996041|h0_004|7|0.5244|61.44|165.8148|319.4434|175.471|325.806|car
104197837-684996041|h0_004|8|0.4302|1187.05|606.0886|322.7413|639.7712|357.9836|truck
104197837-684996041|h0_004|9|0.4123|62.29|0.0442|376.5307|8.503|383.8941|car
104197837-684996041|h0_004|10|0.3263|90.71|447.8049|327.5378|459.7057|335.16|car
104197837-684996041|h0_006|0|0.261|129.2|169.3458|318.1639|179.4794|330.9139|person
104197837-684996041|h1_003|0|0.8335|3169.29|461.2611|347.2419|495.493|439.8247|person
104197837-684996041|h1_003|1|0.8245|36045.5|215.6848|439.0342|406.6537|627.7848|potted_plant
104197837-684996041|h1_003|2|0.8169|3547.61|563.1724|342.7742|599.0895|441.5464|person
104197837-684996041|h1_003|3|0.8145|3838.3|513.4691|352.1554|553.5338|447.9579|person
104197837-684996041|h1_003|4|0.7921|2438.53|445.875|337.7488|472.5731|429.0859|person
104197837-684996041|h1_003|5|0.6407|3671.26|488.3119|351.1801|521.3011|462.4666|person
104197837-684996041|h1_003|6|0.3801|542.11|400.5701|367.2462|420.6125|394.2943|traffic_light
104197837-684996041|h1_003|7|0.3746|23934.26|503.6899|438.7412|639.6973|614.719|potted_plant
104197837-684996041|h1_007|0|0.7984|16220.41|0.4727|328.1389|118.4254|465.6551|car
104197837-684996041|h1_007|1|0.7597|1039.97|208.2481|335.051|244.008|364.1331|car
104197837-684996041|h1_007|2|0.7362|685.91|469.0222|369.0729|509.514|386.0123|car
104197837-684996041|h1_007|3|0.6886|530.44|607.7559|385.7678|639.7852|402.3288|car
104197837-684996041|h1_007|4|0.6872|346.88|621.0839|406.3323|639.8582|424.8088|car
104197837-684996041|h1_007|5|0.5904|87.97|215.1595|319.5645|225.6574|327.9438|car
104197837-684996041|h1_007|6|0.588|311.76|394.087|354.2292|422.7896|365.0909|car
